Weight	Squared?	Rule	Satisfaction
5.0	true	( ~( KNOWS('Dhanya', 'Alex') ) | ~( KNOWS('Ben', 'Dhanya') ) | KNOWS('Ben', 'Alex') )	1.0
5.0	true	( ~( KNOWS('Elena', 'Sabina') ) | ~( KNOWS('Ben', 'Elena') ) | KNOWS('Ben', 'Sabina') )	1.0
5.0	true	( ~( KNOWS('Elena', 'Alex') ) | ~( KNOWS('Ben', 'Elena') ) | KNOWS('Ben', 'Alex') )	0.9852958275005221
5.0	true	( ~( KNOWS('Elena', 'Steve') ) | ~( KNOWS('Ben', 'Elena') ) | KNOWS('Ben', 'Steve') )	0.9968897991348058
5.0	true	( ~( KNOWS('Elena', 'Arti') ) | ~( KNOWS('Ben', 'Elena') ) | KNOWS('Ben', 'Arti') )	0.999052278639283
5.0	true	( ~( KNOWS('Dhanya', 'Arti') ) | ~( KNOWS('Ben', 'Dhanya') ) | KNOWS('Ben', 'Arti') )	0.998391599743627
5.0	true	( ~( KNOWS('Elena', 'Jay') ) | ~( KNOWS('Ben', 'Elena') ) | KNOWS('Ben', 'Jay') )	1.0
5.0	true	( ~( KNOWS('Dhanya', 'Jay') ) | ~( KNOWS('Ben', 'Dhanya') ) | KNOWS('Ben', 'Jay') )	0.9994199967477471
5.0	true	( ~( KNOWS('Dhanya', 'Sabina') ) | ~( KNOWS('Ben', 'Dhanya') ) | KNOWS('Ben', 'Sabina') )	0.7091349065303802
5.0	true	( ~( KNOWS('Dhanya', 'Steve') ) | ~( KNOWS('Ben', 'Dhanya') ) | KNOWS('Ben', 'Steve') )	0.9967448872048408
5.0	true	( ~( KNOWS('Alex', 'Ben') ) | ~( KNOWS('Arti', 'Alex') ) | KNOWS('Arti', 'Ben') )	0.9883017838001251
5.0	true	( ~( KNOWS('Alex', 'Elena') ) | ~( KNOWS('Arti', 'Alex') ) | KNOWS('Arti', 'Elena') )	0.961056612432003
5.0	true	( ~( KNOWS('Alex', 'Dhanya') ) | ~( KNOWS('Arti', 'Alex') ) | KNOWS('Arti', 'Dhanya') )	1.0
5.0	true	( ~( KNOWS('Alex', 'Jay') ) | ~( KNOWS('Arti', 'Alex') ) | KNOWS('Arti', 'Jay') )	0.983275081962347
5.0	true	( ~( KNOWS('Alex', 'Sabina') ) | ~( KNOWS('Arti', 'Alex') ) | KNOWS('Arti', 'Sabina') )	1.0
5.0	true	( ~( KNOWS('Dhanya', 'Alex') ) | ~( KNOWS('Sabina', 'Dhanya') ) | KNOWS('Sabina', 'Alex') )	1.0
5.0	true	( ~( KNOWS('Alex', 'Steve') ) | ~( KNOWS('Arti', 'Alex') ) | KNOWS('Arti', 'Steve') )	0.9914452992379665
5.0	true	( ~( KNOWS('Dhanya', 'Arti') ) | ~( KNOWS('Sabina', 'Dhanya') ) | KNOWS('Sabina', 'Arti') )	1.0
5.0	true	( ~( KNOWS('Dhanya', 'Ben') ) | ~( KNOWS('Sabina', 'Dhanya') ) | KNOWS('Sabina', 'Ben') )	0.7175630927085876
5.0	true	( ~( KNOWS('Dhanya', 'Jay') ) | ~( KNOWS('Sabina', 'Dhanya') ) | KNOWS('Sabina', 'Jay') )	1.0
5.0	true	( ~( KNOWS('Steve', 'Alex') ) | ~( KNOWS('Elena', 'Steve') ) | KNOWS('Elena', 'Alex') )	1.0
5.0	true	( ~( KNOWS('Dhanya', 'Steve') ) | ~( KNOWS('Sabina', 'Dhanya') ) | KNOWS('Sabina', 'Steve') )	1.0
5.0	true	( ~( KNOWS('Steve', 'Arti') ) | ~( KNOWS('Elena', 'Steve') ) | KNOWS('Elena', 'Arti') )	1.0
5.0	true	( ~( KNOWS('Steve', 'Ben') ) | ~( KNOWS('Elena', 'Steve') ) | KNOWS('Elena', 'Ben') )	1.0
5.0	true	( ~( KNOWS('Steve', 'Jay') ) | ~( KNOWS('Elena', 'Steve') ) | KNOWS('Elena', 'Jay') )	1.0
5.0	true	( ~( KNOWS('Steve', 'Dhanya') ) | ~( KNOWS('Elena', 'Steve') ) | KNOWS('Elena', 'Dhanya') )	1.0
5.0	true	( ~( KNOWS('Steve', 'Sabina') ) | ~( KNOWS('Elena', 'Steve') ) | KNOWS('Elena', 'Sabina') )	1.0
5.0	true	( ~( KNOWS('Jay', 'Arti') ) | ~( KNOWS('Elena', 'Jay') ) | KNOWS('Elena', 'Arti') )	1.0
5.0	true	( ~( KNOWS('Jay', 'Alex') ) | ~( KNOWS('Elena', 'Jay') ) | KNOWS('Elena', 'Alex') )	1.0
5.0	true	( ~( KNOWS('Jay', 'Dhanya') ) | ~( KNOWS('Elena', 'Jay') ) | KNOWS('Elena', 'Dhanya') )	1.0
5.0	true	( ~( KNOWS('Jay', 'Steve') ) | ~( KNOWS('Elena', 'Jay') ) | KNOWS('Elena', 'Steve') )	1.0
5.0	true	( ~( KNOWS('Ben', 'Arti') ) | ~( KNOWS('Elena', 'Ben') ) | KNOWS('Elena', 'Arti') )	1.0
5.0	true	( ~( KNOWS('Ben', 'Alex') ) | ~( KNOWS('Elena', 'Ben') ) | KNOWS('Elena', 'Alex') )	1.0
5.0	true	( ~( KNOWS('Ben', 'Dhanya') ) | ~( KNOWS('Elena', 'Ben') ) | KNOWS('Elena', 'Dhanya') )	0.6127872467041016
5.0	true	( ~( KNOWS('Ben', 'Jay') ) | ~( KNOWS('Elena', 'Ben') ) | KNOWS('Elena', 'Jay') )	1.0
5.0	true	( ~( KNOWS('Ben', 'Sabina') ) | ~( KNOWS('Elena', 'Ben') ) | KNOWS('Elena', 'Sabina') )	0.9859349140897393
5.0	true	( ~( KNOWS('Alex', 'Arti') ) | ~( KNOWS('Elena', 'Alex') ) | KNOWS('Elena', 'Arti') )	0.9626448750495911
5.0	true	( ~( KNOWS('Ben', 'Steve') ) | ~( KNOWS('Elena', 'Ben') ) | KNOWS('Elena', 'Steve') )	1.0
5.0	true	( ~( KNOWS('Alex', 'Dhanya') ) | ~( KNOWS('Elena', 'Alex') ) | KNOWS('Elena', 'Dhanya') )	1.0
5.0	true	( ~( KNOWS('Alex', 'Ben') ) | ~( KNOWS('Elena', 'Alex') ) | KNOWS('Elena', 'Ben') )	1.0
5.0	true	( ~( KNOWS('Alex', 'Jay') ) | ~( KNOWS('Elena', 'Alex') ) | KNOWS('Elena', 'Jay') )	1.0
5.0	true	( ~( KNOWS('Alex', 'Sabina') ) | ~( KNOWS('Elena', 'Alex') ) | KNOWS('Elena', 'Sabina') )	1.0
5.0	true	( ~( KNOWS('Alex', 'Steve') ) | ~( KNOWS('Elena', 'Alex') ) | KNOWS('Elena', 'Steve') )	1.0
5.0	true	( ~( KNOWS('Arti', 'Alex') ) | ~( KNOWS('Elena', 'Arti') ) | KNOWS('Elena', 'Alex') )	1.0
