Weight	Squared?	Rule	Satisfaction
10.0	true	( ~( BLOCK('53', '7') ) | ~( SIMILAR('0', '53') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '53') )	1.0
10.0	true	( ~( BLOCK('9', '7') ) | ~( SIMILAR('0', '9') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '9') )	0.9963999066967517
10.0	true	( ~( BLOCK('31', '7') ) | ~( SIMILAR('0', '31') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '31') )	0.9998350432433654
10.0	true	( ~( BLOCK('4', '7') ) | ~( SIMILAR('0', '4') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '4') )	0.9840456955134869
10.0	true	( ~( BLOCK('8', '7') ) | ~( SIMILAR('0', '8') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '8') )	0.9992912724264897
10.0	true	( ~( BLOCK('49', '7') ) | ~( SIMILAR('0', '49') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '49') )	0.9869484072551131
10.0	true	( ~( BLOCK('10', '7') ) | ~( SIMILAR('0', '10') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '10') )	0.9687866102904081
10.0	true	( ~( BLOCK('19', '7') ) | ~( SIMILAR('0', '19') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '19') )	1.0
10.0	true	( ~( BLOCK('58', '7') ) | ~( SIMILAR('0', '58') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '58') )	1.0
10.0	true	( ~( BLOCK('57', '7') ) | ~( SIMILAR('0', '57') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '57') )	0.9681538566946983
10.0	true	( ~( BLOCK('73', '7') ) | ~( SIMILAR('0', '73') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '73') )	0.9700659960508347
10.0	true	( ~( BLOCK('87', '7') ) | ~( SIMILAR('0', '87') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '87') )	0.9738637078553438
10.0	true	( ~( BLOCK('61', '7') ) | ~( SIMILAR('0', '61') ) | ~( BLOCK('0', '7') ) | FRIENDS('0', '61') )	0.9635482132434845
10.0	true	( ~( BLOCK('20', '5') ) | ~( SIMILAR('1', '20') ) | ~( BLOCK('1', '5') ) | FRIENDS('1', '20') )	0.9742474816739559
10.0	true	( ~( BLOCK('21', '5') ) | ~( SIMILAR('1', '21') ) | ~( BLOCK('1', '5') ) | FRIENDS('1', '21') )	1.0
10.0	true	( ~( BLOCK('27', '5') ) | ~( SIMILAR('1', '27') ) | ~( BLOCK('1', '5') ) | FRIENDS('1', '27') )	1.0
10.0	true	( ~( BLOCK('62', '5') ) | ~( SIMILAR('1', '62') ) | ~( BLOCK('1', '5') ) | FRIENDS('1', '62') )	1.0
10.0	true	( ~( BLOCK('65', '5') ) | ~( SIMILAR('1', '65') ) | ~( BLOCK('1', '5') ) | FRIENDS('1', '65') )	0.9742890167981386
10.0	true	( ~( BLOCK('70', '5') ) | ~( SIMILAR('1', '70') ) | ~( BLOCK('1', '5') ) | FRIENDS('1', '70') )	0.9707856960594654
10.0	true	( ~( BLOCK('82', '5') ) | ~( SIMILAR('1', '82') ) | ~( BLOCK('1', '5') ) | FRIENDS('1', '82') )	0.9760104902088642
10.0	true	( ~( BLOCK('93', '5') ) | ~( SIMILAR('1', '93') ) | ~( BLOCK('1', '5') ) | FRIENDS('1', '93') )	1.0
10.0	true	( ~( BLOCK('29', '1') ) | ~( SIMILAR('2', '29') ) | ~( BLOCK('2', '1') ) | FRIENDS('2', '29') )	0.999952949150611
10.0	true	( ~( BLOCK('35', '1') ) | ~( SIMILAR('2', '35') ) | ~( BLOCK('2', '1') ) | FRIENDS('2', '35') )	0.9921622276306152
10.0	true	( ~( BLOCK('43', '1') ) | ~( SIMILAR('2', '43') ) | ~( BLOCK('2', '1') ) | FRIENDS('2', '43') )	1.0
10.0	true	( ~( BLOCK('45', '1') ) | ~( SIMILAR('2', '45') ) | ~( BLOCK('2', '1') ) | FRIENDS('2', '45') )	0.9802252966910601
10.0	true	( ~( BLOCK('80', '1') ) | ~( SIMILAR('2', '80') ) | ~( BLOCK('2', '1') ) | FRIENDS('2', '80') )	0.9711355697363615
10.0	true	( ~( BLOCK('95', '1') ) | ~( SIMILAR('2', '95') ) | ~( BLOCK('2', '1') ) | FRIENDS('2', '95') )	0.9787872675806284
10.0	true	( ~( BLOCK('96', '1') ) | ~( SIMILAR('2', '96') ) | ~( BLOCK('2', '1') ) | FRIENDS('2', '96') )	0.9998487712146016
10.0	true	( ~( BLOCK('12', '8') ) | ~( SIMILAR('3', '12') ) | ~( BLOCK('3', '8') ) | FRIENDS('3', '12') )	1.0
10.0	true	( ~( BLOCK('25', '8') ) | ~( SIMILAR('3', '25') ) | ~( BLOCK('3', '8') ) | FRIENDS('3', '25') )	0.9853169824928045
10.0	true	( ~( BLOCK('5', '8') ) | ~( SIMILAR('3', '5') ) | ~( BLOCK('3', '8') ) | FRIENDS('3', '5') )	0.9955201121047139
10.0	true	( ~( BLOCK('28', '8') ) | ~( SIMILAR('3', '28') ) | ~( BLOCK('3', '8') ) | FRIENDS('3', '28') )	1.0
10.0	true	( ~( BLOCK('33', '8') ) | ~( SIMILAR('3', '33') ) | ~( BLOCK('3', '8') ) | FRIENDS('3', '33') )	0.9635060504078865
10.0	true	( ~( BLOCK('54', '8') ) | ~( SIMILAR('3', '54') ) | ~( BLOCK('3', '8') ) | FRIENDS('3', '54') )	0.9978186923544854
10.0	true	( ~( BLOCK('68', '8') ) | ~( SIMILAR('3', '68') ) | ~( BLOCK('3', '8') ) | FRIENDS('3', '68') )	0.9590184465050697
10.0	true	( ~( BLOCK('71', '8') ) | ~( SIMILAR('3', '71') ) | ~( BLOCK('3', '8') ) | FRIENDS('3', '71') )	0.9794225189834833
